elo_diff,form_diff,is_neutral,tournament_weight,avg_goals_diff,defense_diff,is_major_tournament,h2h_home_wins,outcome,date,home_team,away_team
84.30999999999995,7,1,3.0,,,3,0,2,2010-06-15,Brazil,North Korea
-19.65000000000009,-3,1,3.0,-1.75,-1.5,3,0,1,2010-06-15,Ivory Coast,Portugal
-26.62999999999988,-1,1,3.0,,,3,0,1,2010-06-15,New Zealand,Slovakia
-90.58000000000015,-10,1,3.0,0.0,0.0,3,0,0,2010-06-16,Honduras,Chile
49.51999999999998,4,0,3.0,-1.0,0.6,3,0,0,2010-06-16,South Africa,Uruguay
96.56999999999994,11,1,3.0,,,3,0,0,2010-06-16,Spain,Switzerland
-72.72999999999979,-7,1,3.0,0.41666666666666663,-0.75,3,0,2,2010-06-17,Greece,Nigeria
36.00999999999999,6,1,3.0,1.6666666666666667,0.5111111111111112,3,0,2,2010-06-17,Argentina,South Korea
-88.49000000000001,-2,1,3.0,-0.5833333333333334,0.41666666666666674,3,0,0,2010-06-17,France,Mexico
86.1099999999999,7,1,3.0,1.666666666666667,0.5,3,0,1,2010-06-18,England,Algeria
36.17000000000007,5,1,3.0,0.5,-0.16666666666666669,3,0,0,2010-06-18,Germany,Serbia
